kontrakty RTT dla gazu ziemnego dla okresu od;2016-01-01;do;2020-05-14;

data obrotu;instrument;kurs pierwszej transakcji (PLN/MWh);DKR (PLN/MWh);kurs min. (PLN/MWh);kurs max. (PLN/MWh);wolumen (MWh);liczba kontraktow;wartosc obrotu (PLN);liczba transakcji;najlepsza oferta kupna (PLN/MWh);najlepsza oferta sprzedazy (PLN/MWh);LOP (MWh);LOP w liczbie kontraktow;wolumen od poczatku notowan (MWh);liczba kontraktow od poczatku notowan
2016-01-19;GAS_BASE_W-07-16;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2016-01-19;GAS_BASE_M-02-16;68.50;69.00;68.50;69.01;65424.00;94.00;4510810.80;16.00;69.01;68.50;9579048.00;13763.00;766296.00;1101.00
2016-01-19;GAS_BASE_M-03-16;67.00;67.00;67.00;67.00;1486.00;2.00;99562.00;1.00;67.00;67.00;9583957.00;12899.00;87674.00;118.00
2016-01-19;GAS_BASE_M-04-16;67.00;67.24;67.00;67.50;16560.00;23.00;1113012.00;4.00;67.06;66.50;261360.00;363.00;329760.00;458.00
2016-01-19;GAS_BASE_Q-2-16;65.50;65.50;65.50;65.50;10920.00;5.00;715260.00;1.00;65.50;65.00;9238320.00;4230.00;1017744.00;466.00
2016-01-19;GAS_BASE_Q-3-16;-;65.38;-;-;-;-;-;-;65.25;64.50;8902656.00;4032.00;494592.00;224.00
2016-01-19;GAS_BASE_Q-4-16;70.00;70.23;70.00;70.45;33135.00;15.00;2324420.25;4.00;70.45;70.00;9483237.00;4293.00;1263548.00;572.00
2016-01-19;GAS_BASE_Q-1-17;-;72.25;-;-;-;-;-;-;72.25;72.50;10795.00;5.00;15113.00;7.00
2016-01-19;GAS_BASE_S-S-16;65.00;65.08;65.00;65.25;43920.00;10.00;2855898.00;3.00;65.25;65.00;838872.00;191.00;1853424.00;422.00
2016-01-19;GAS_BASE_S-W-16;70.50;70.88;70.50;71.00;196560.00;45.00;13933920.00;8.00;71.00;70.75;1520064.00;348.00;2157792.00;494.00
2016-01-19;GAS_BASE_S-S-17;-;-;-;-;-;-;-;-;-;-;-;-;-;-
